,RearingTreatment,Family,TotalLength,BodyLength,RelTailLength,RelMaxTailDepth,RelTailMuscleHeight,RelHeadWidth,RelTailMuscleWidth,RelTailSpotArea,Chroma,Hue
2,Fish,1,12.79533333,4.616,1.777327892,0.554826646,0.256701959,0.518669852,0.205232345,0.213367578,103.1801111,16.19233333
5,Fish,2,12.52635,4.57395,1.733043949,0.585243342,0.245120881,0.544810248,0.18925641,0.123183246,59.40725,20.3971
8,Fish,3,12.16831579,4.591684211,1.641686139,0.598825335,0.241615533,0.569383921,0.192189722,0.197589395,63.15689474,20.35821053
11,Fish,4,16.49383333,5.5875,1.966791693,0.633395425,0.248830131,0.536128064,0.202233029,0.305265965,67.17566667,20.76655556
14,Fish,5,14.26389474,5.207421053,1.750091309,0.632131067,0.240372901,0.558935485,0.187111481,0.157896209,66.50426316,21.19857895
17,Fish,7,16.35844444,5.556222222,1.970503756,0.626326939,0.239051279,0.531112464,0.188857253,0.316676666,102.8807778,19.09111111
20,Fish,8,15.2333,5.32885,1.8912428,0.596515726,0.256478945,0.527141153,0.201915101,0.124922417,69.8372,21.9139
23,Fish,9,14.9756875,5.298375,1.837023261,0.650962255,0.266821661,0.545055005,0.207775032,0.23882324,72.1086875,19.148
26,Fish,10,14.91952632,5.182368421,1.901639257,0.617439053,0.280759946,0.538532102,0.216342434,0.113064422,66.42342105,22.09436842
29,Fish,11,16.24311111,5.912277778,1.756987391,0.60868706,0.23823545,0.510172297,0.192246939,0.3909969,84.5715,19.15805556
3,Dragonfly,2,12.57335,4.5621,1.745904484,0.639698825,0.233066836,0.58360684,0.196927815,1.055144127,144.65665,13.3462
6,Dragonfly,3,11.76026316,4.531684211,1.574660039,0.651172153,0.232952686,0.586327407,0.183792542,0.924333268,117.7101053,15.04684211
9,Dragonfly,4,12.74015789,4.321052632,1.946585804,0.689094284,0.240511924,0.594858695,0.200134122,0.558327306,145.8113684,35.402
12,Dragonfly,5,11.94078947,4.360421053,1.741232394,0.612401455,0.241025618,0.633589147,0.1824045,0.697453435,167.3054737,13.64615789
15,Dragonfly,7,15.84228571,5.370142857,1.953361793,0.779694988,0.239871235,0.574793509,0.180756316,1.935849186,137.8072857,22.11657143
18,Dragonfly,8,15.06285,5.3052,1.839758857,0.704884153,0.239008907,0.591542236,0.182466751,0.927767146,152.74405,16.1574
21,Dragonfly,9,14.68413333,5.019933333,1.92705368,0.775317062,0.261725281,0.570115122,0.20269991,1.623691922,153.2197333,13.36253333
24,Dragonfly,10,12.06505882,4.203588235,1.870280692,0.720484707,0.268106091,0.597681295,0.207967445,0.864863302,99.36952941,26.35211765
27,Dragonfly,11,12.5592,4.5794,1.747922789,0.720660982,0.24553649,0.587642992,0.186670226,1.058641537,143.65525,14.12055
1,Control,1,13.26042857,4.875285714,1.723996963,0.625639806,0.238522315,0.554092035,0.171747541,0.636176052,98.58985714,14.331
4,Control,2,12.80895,4.65365,1.743852183,0.600575655,0.228320661,0.572985333,0.18643175,0.432528137,89.4886,16.2731
7,Control,3,12.14657895,4.491473684,1.683417899,0.571817162,0.223880961,0.595702673,0.180268528,0.629355075,98.29015789,14.53852632
10,Control,4,15.78955556,5.493166667,1.878838028,0.666074616,0.248238249,0.56663007,0.196609343,0.47054604,80.837,26.09711111
13,Control,5,15.20135,5.539,1.76491057,0.615624154,0.226966395,0.563047697,0.185518487,0.639251163,122.14005,17.79275
16,Control,7,19.17933333,6.461666667,1.958075732,0.635335281,0.223964563,0.510020019,0.197581359,0.862315478,112.2113333,18.2765
19,Control,8,14.26252632,4.981,1.860325599,0.636788108,0.234491185,0.581804161,0.188342839,0.284127762,85.15342105,22.91757895
22,Control,9,16.14716667,5.620222222,1.888155622,0.6364283,0.26468593,0.540300559,0.215660858,0.443356987,85.98638889,18.38505556
25,Control,10,14.7993,5.33595,1.808257716,0.61357299,0.248326469,0.512898232,0.205879087,0.276429588,73.8079,20.669
28,Control,11,14.20785,5.2316,1.722315569,0.637586722,0.216566354,0.548251849,0.185114697,0.700043969,89.97075,18.95335
