Photo,Number,Tadpole,TotalLength,BodyLength,TailLength,MaxTailDepth,TailMuscleHeight,TailSpotArea,Red,Green,Blue,Hue,Chroma,Brightness,HeadWidth,TailMuscleWidth,
7879/7880,73,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.967,0.995,
7914/7915,54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.922,0.79,
7939/7940,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.647,0.665,
8136/8137,105,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.366,0.88,
8177/8178,79,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.724,0.955,
7969/7970,63,1,16.285,5.956,10.56,4.558,1.426,5.748,136.868,77.783,42.899,17.396,169.642,137.037,3.465,1.101,
7916/7917,30,4,13.143,4.65,8.316,2.413,0.929,4.149,151.541,73.627,41.873,12.752,182.895,151.555,2.918,0.692,
7912/7913,91,2,12.218,4.125,8.162,2.991,1.22,3.183,140.196,69.497,38.561,11.771,180.993,140.198,2.69,0.743,
7918/7919,92,3,10.843,4.031,6.781,2.821,1.112,2.189,149.671,76.951,43.605,13.181,180.7,149.673,2.611,0.859,
7912/7913,91,3,9.457,3.598,5.927,2.368,1.052,2.598,186.729,104.892,57.057,15.24,177.636,186.729,2.505,0.707,
7912/7913,91,5,10.886,3.939,6.977,3.003,1.106,2.543,116.471,57.927,33.926,11.97,177.369,116.472,2.658,0.787,
7916/7917,30,1,12.603,4.573,7.845,3.252,1.206,4.56,119.38,59.894,35.019,11.337,175.972,119.38,2.77,0.848,
7916/7917,30,3,11.833,4.381,7.362,3.082,1.229,4.221,137.371,72.64,41.037,13.698,175.687,137.379,2.861,0.843,
7868/7869,21,4,13.864,4.695,9.139,2.89,1.187,2.201,128.617,65.213,36.88,31.779,174.719,128.669,2.798,0.904,
7989/7990,7,1,15.307,5.005,10.274,4.556,1.394,12.559,121.778,59.492,33.389,12.417,174.496,121.798,3.103,1.053,
7912/7913,91,4,11.926,4.338,7.424,2.37,0.815,3.186,113.737,59.249,34.224,12.737,173.322,113.737,2.829,0.746,
7962/7963,31,4,17.919,6.03,11.936,4.602,1.593,7.674,147.621,78.296,45.699,13.527,171.904,147.651,3.422,1.064,
7914/7915,54,2,12.127,4.307,7.822,2.143,0.864,2.947,117.909,63.115,37.087,13.211,169.829,117.963,2.72,0.722,
8161/8162,19,2,13.402,4.98,8.82,3.803,1.316,6.831,105.742,56.913,33.559,12.702,168.302,105.742,2.851,0.988,
8159/8160,108,2,12.937,4.679,7.997,3.381,1.23,5.688,117.772,60.67,32.926,13.007,167.774,117.772,2.761,0.938,
7918/7919,92,5,13.784,5.022,8.967,2.027,0.956,2.648,123.87,66.344,40.758,13.371,167.126,123.974,3.09,0.956,
7914/7915,54,5,11.5,4.255,7.215,3.113,1.202,3.346,100.232,46.973,30.815,9.671,166.637,100.259,2.74,0.714,
7866/7867,90,2,12.848,4.606,8.184,2.753,0.725,2.524,116.997,65.442,41.214,42.008,166.618,116.997,2.236,0.855,
7348/7350,143,5,13.217,4.786,8.304,3.605,1.158,6.457,128.794,66.322,40.665,11.434,165.758,128.794,2.836,0.86,
8161/8162,19,5,11.19,4.373,6.836,3.295,1.066,5.194,95.199,49.747,29.87,11.87,165.714,95.199,2.757,0.768,
7351/7352,64,2,14.586,4.728,9.745,3.179,1.153,6.737,130.59,67.452,42.812,13.651,165.149,130.59,2.867,0.917,
7989/7990,7,2,16.676,5.731,11.015,4.549,1.501,14.164,104.691,56.142,37.024,11.868,164.818,104.704,2.814,1.17,
7969/7970,63,2,15.608,5.326,10.329,4.087,1.319,5.971,99.677,53.593,30.749,13.848,164.728,99.694,3.267,1.071,
7868/7869,21,2,13.038,4.499,8.497,2.939,0.995,3.635,110.721,61.031,36.591,36.97,163.563,110.934,2.812,1.053,
7987/7988,142,2,13.053,4.734,8.334,3.849,1.238,7.96,86.099,45.101,28.507,12.493,163.267,86.167,2.494,0.971,
7964/7965,133,2,15.564,5.53,9.918,3.398,1.426,4.86,136.71,73.968,43.245,15.851,162.703,136.802,3.421,0.969,
7914/7915,54,3,9.956,4.046,5.962,3.008,1.022,2.558,96.852,51.59,33.05,11.964,161.98,96.871,2.292,0.737,
7916/7917,30,5,14.424,4.956,9.801,3.178,1.155,7.262,101.052,55.802,34.014,12.898,161.623,65.354,3.028,0.826,
7866/7867,90,1,14.757,4.781,10.21,3.315,0.958,4.608,145.282,84.82,51.935,41.026,161.167,145.669,2.644,0.869,
7964/7965,133,3,16.352,5.44,11.108,3.775,1.301,5.767,120.51,66.458,40.194,14.701,161.141,120.642,2.846,0.811,
7346/7347,97,4,14.587,5.104,9.265,3.347,1.087,7.666,102.59,54.9,36.63,12.224,161.047,102.59,2.832,1.07,
7969/7970,63,4,17.497,5.965,11.622,4.454,1.422,6.857,135.548,75.569,46.141,14.202,160.679,135.63,3.563,1.244,
7993/7994,114,3,15.973,5.284,10.309,4.078,1.42,9.205,98.545,53.222,35.048,12.21,159.856,98.575,2.614,0.85,
7881/7882,127,4,14.972,4.972,9.476,"4,185",1.203,4.323,133.775,77.869,44.482,22.435,159.775,133.988,2.891,0.871,
7348/7350,143,3,13.38,4.879,8.572,2.946,1.004,6.872,118.96,65.349,43.882,11.787,159.482,118.96,2.894,0.877,
7964/7965,133,4,15.13,5.649,9.322,3.952,1.323,6.009,111.713,60.452,37.522,13.454,159.48,111.728,3.317,1.121,
7920/7921,61,2,15.202,5.513,9.853,3.133,1.116,4.841,131.734,83.087,51.052,16.823,159.198,131.744,3.18,1.005,
7962/7963,31,5,15.141,5.273,9.993,4.09,1.341,5.698,133.979,74.289,44.794,14.442,159.135,134.016,3.164,1.045,
7991/7992,124,1,14.338,4.992,9.668,3.706,1.163,6.781,87.091,47.656,29.466,13.717,158.904,87.143,2.866,0.907,
7918/7919,92,2,12.351,4.311,8.294,2.558,0.972,2.001,165.801,100.197,63.764,14.711,158.854,165.838,2.654,0.916,
7993/7994,114,1,15.35,5.117,10.201,3.985,1.208,10.914,124.683,70.884,45.443,13.384,158.77,124.732,3.153,1.055,
7939/7940,13,3,13.552,4.625,8.817,3.663,1.008,5.542,99.847,48.817,30.617,18.888,158.73,100.1,2.858,0.704,
7936/7938,134,4,17.189,5.573,12.127,4.696,1.394,11.546,97.742,49.568,33.374,22.196,158.514,97.923,3.033,1.101,
7939/7940,13,2,17.97,6.014,12.245,4.914,1.26,15.462,92.949,45.344,30.097,17.105,158.239,93.066,3.2,1.032,
7884/7885,15,2,15.055,5.092,10.202,3.776,1.149,4.443,121.237,67.015,42.497,26.358,158.069,121.698,2.895,0.903,
7916/7917,30,2,11.476,4.598,7.035,2.884,1.049,1.954,155.371,92.806,60.285,16.809,157.675,155.41,2.727,0.793,
8159/8160,108,4,12.867,4.799,7.969,3.351,1.16,5.327,106.94,59.691,38.523,12.563,157.648,106.94,2.998,0.831,
7914/7915,54,4,11.697,4.365,7.192,2.217,0.834,2.444,103.222,55.522,35.21,14.861,157.398,103.269,2.718,0.668,
8157/8158,78,3,14.178,5.03,9.111,3.718,1.204,7.631,101.309,56.791,36.963,12.157,156.918,101.31,2.986,0.951,
7967/7968,23,5,15.205,5.412,10.041,4.054,1.217,4.972,91.377,51.456,31.936,14.894,156.438,91.426,3.116,0.937,
7881/7882,127,3,11.928,4.052,8.092,3.169,1.038,1.951,117.927,72.11,43.666,25.974,156.074,118.06,2.388,0.832,
7353/7354,101,1,12.267,4.266,7.787,2.941,1.213,4.248,134.722,79.821,51.343,14.829,155.833,134.722,2.251,0.971,
7969/7970,63,3,10.332,3.839,6.239,2.055,0.74,2.101,86.2,50.21,30.219,15.8,155.659,86.362,2.404,0.776,
7987/7988,142,1,16.292,5.25,11.355,4.163,1.467,11.365,84.049,45.438,29.862,12.772,155.649,84.164,2.791,1.112,
7881/7882,127,1,11.617,4.179,7.464,2.627,0.905,1.774,137.229,82.457,50.6,28.019,155.648,137.647,2.608,0.799,
7912/7913,91,1,12.061,4.407,7.792,3.23,1.113,2.75,113.205,65.265,43.049,13.845,155.422,113.268,2.846,0.766,
8161/8162,19,3,13.339,4.9,8.494,3.751,1.244,6.334,78.759,42.319,26.098,11.862,155.161,78.759,2.791,0.993,
7346/7347,97,2,11.17,4.119,7.31,2.829,0.952,5.038,100.19,55.848,35.65,12.372,154.917,100.19,2.562,0.738,
7962/7963,31,1,15.878,5.813,10.287,4.056,1.485,5.618,104.994,61.101,38.914,17.353,154.771,104.735,3.313,0.941,
8154/8155,137,4,12.246,4.302,8.017,3.034,1.042,4.272,93.946,49.798,32.8,11.754,154.451,93.946,2.948,0.827,
7991/7992,124,2,18.339,6.061,12.426,4.63,1.534,12.498,87.896,49.287,31.982,13.139,153.811,87.927,3.305,1.25,
7918/7919,92,1,12.393,4.39,8.038,1.556,0.927,2.043,144.942,89.078,58.315,19.325,153.553,145.253,2.921,0.87,
7312/7313,138,4,15.078,5.579,9.321,4.267,1.38,9.299,102.787,55.602,36.798,12.996,153.381,102.787,3.126,0.942,
8159/8160,108,5,13.048,4.851,8.231,3.315,1.161,4.751,89.872,49.103,31.891,12.324,152.759,89.885,2.655,0.877,
7991/7992,124,4,14.847,5.053,9.678,4.025,1.339,9.14,120.762,67.937,47.27,11.669,152.678,120.762,2.921,1.011,
7348/7350,143,1,13.345,4.688,8.507,2.662,0.941,5.67,127.571,75.254,49.896,13.087,152.625,127.571,2.63,0.955,
7344/7345,17,1,11.3,4.062,7.345,2.433,1.12,0.414,177.294,110.459,72.51,14.833,152.05,177.294,2.075,0.839,
7991/7992,124,3,17.513,6.041,11.842,4.602,1.604,12.003,80.272,43.982,28.969,13.103,151.919,80.309,3.395,0.999,
7969/7970,63,5,15.281,5.375,9.814,3.631,1.158,3.914,102.832,60.217,37.235,15.134,151.519,102.868,3.062,0.86,
7351/7352,64,5,12.832,4.512,8.159,3.129,1.195,4.337,113.364,61.852,41.085,14.418,151.289,113.364,2.19,0.877,
7884/7885,15,1,13.135,4.453,8.594,3.558,1.225,2.8,111.34,64.807,42.146,29.082,150.511,111.599,2.58,0.799,
7987/7988,142,4,12.218,4.502,7.859,3.287,1.168,3.669,82.785,49.045,30.258,15.95,150.48,83.006,2.724,0.822,
7964/7965,133,5,16.544,6.041,10.336,4.679,1.514,8.943,86.344,46.991,31.095,14.229,150.065,86.398,3.32,1.107,
7939/7940,13,1,16.029,5.425,10.66,4.621,1.331,12.538,78.174,39.945,29.252,16.527,149.488,78.238,2.931,1.087,
7993/7994,114,4,14.603,4.824,9.875,3.663,1.331,6.995,80.634,46.127,31.336,12.929,148.608,80.667,3.001,1.211,
7924/7925,89,4,15.223,5.58,9.758,3.507,1.172,5.355,78.979,48.497,30.761,16.894,148.327,79.276,3.076,1.074,
7346/7347,97,5,13.77,4.8,8.816,2.86,1.062,4.951,95.342,54.752,37.693,12.973,148.298,95.342,2.89,0.874,
7924/7925,89,5,15.581,5.633,10.038,3.817,1.386,4.81,99.173,63.595,42.138,15.775,148.005,99.22,3.311,1.076,
7920/7921,61,5,15.765,5.746,10.071,3.058,1.338,4.431,89.918,59.306,38.228,16.942,147.843,89.922,3.396,0.925,
7967/7968,23,4,15.057,5.044,10.052,3.749,1.245,4.621,77.313,46.744,28.243,17.636,147.419,77.502,3.3,0.941,
7967/7968,23,3,14.139,4.898,9.21,3.342,1.186,2.577,95.348,59.19,38.129,17.082,147.393,95.476,2.976,0.908,
7351/7352,64,4,13.362,4.629,8.98,3.455,1.215,4.856,123.643,69.824,47.88,13.092,147.301,123.643,2.58,1.057,
7866/7867,90,5,13.017,4.392,8.428,3.009,1.208,2.303,96.625,54.248,41.831,58.198,146.144,96.826,2.64,1.008,
7353/7354,101,3,12.565,4.396,8.203,2.859,1.142,4.623,103.999,60.954,42.69,13.043,145.498,103.999,2.529,0.907,
7868/7869,21,3,9.968,3.215,6.599,1.99,0.68,1.125,225.864,161.79,97.544,25.799,144.304,225.864,1.908,0.801,
7918/7919,92,4,12.197,4.556,7.559,2.173,1.072,1.586,165.155,106.203,71.371,15.925,144.133,165.17,2.816,0.879,
8159/8160,108,1,10.94,4.02,6.858,2.89,0.941,3.405,89.721,54.074,37.08,14.752,144.105,89.724,2.688,0.794,
7316/7317,57,1,14.28,4.897,9.331,3.62,1.263,5.612,96.877,54.395,37.13,14.43,143.2,96.877,2.783,0.918,
7967/7968,23,2,15.213,5.266,10.084,3.058,1.193,2.401,113.643,75.994,49.231,20.516,143.009,114.709,3.017,0.952,
7346/7347,97,3,12.891,5.067,7.788,2.132,0.782,3.8,110.069,62.955,43.96,15.278,142.781,110.069,2.82,0.897,
8161/8162,19,1,11.195,4.041,7.079,2.735,0.902,3.08,77.496,47.759,30.317,13.448,142.695,77.496,2.408,0.693,
8154/8155,137,3,11.564,4.31,7.297,3.163,1.118,4.494,83.666,44.91,30.05,17.123,142.447,83.666,2.769,0.712,
7881/7882,127,5,12.174,4.225,8.061,3.137,1.137,1.601,108.579,68.225,43.406,25.891,141.819,108.668,2.674,0.863,
7962/7963,31,2,13.35,4.962,8.532,2.964,1.164,2.719,138.66,88.333,59.686,15.214,140.945,138.761,2.951,0.865,
7936/7938,134,1,16.025,5.301,10.637,4.107,1.266,11.04,74.639,40.372,29.866,16.622,140.89,74.767,2.908,0.964,
7944/7945,16,3,19.278,6.484,12.891,4.679,1.527,8.429,102.095,68.083,45.393,16.593,140.454,102.178,3.351,1.235,
7881/7882,127,2,12.518,4.285,8.016,3.337,1.109,3.23,100.402,62.145,41.145,26.668,140.28,100.544,2.736,0.792,
7987/7988,142,3,12.411,4.382,8.039,3.415,1.074,3.239,97.131,61.652,41.561,15.465,139.995,97.218,2.783,0.846,
7351/7352,64,3,12.927,4.693,8.234,3.23,1.149,5.85,98.354,55.84,39.263,13.166,139.992,98.352,2.944,0.956,
7346/7347,97,1,10.779,4.491,6.186,2.697,0.944,4.163,109.209,69.063,47.964,15.09,139.684,109.201,2.549,0.843,
7868/7869,21,1,12.518,4.364,8.127,3.146,0.935,1.855,155.896,104.77,71.375,37.115,139.602,156.04,2.758,1.012,
8157/8158,78,1,13.01,4.597,8.489,3.258,1.177,5.171,92.228,54.557,36.34,14.267,139.496,92.239,2.931,0.796,
7942/7943,53,1,19.932,6.701,12.836,2.649,1.162,3.449,138.619,94.892,62.985,18.092,139.094,138.743,3.249,1.286,
7924/7925,89,2,15.455,5.519,10.064,2.944,1.05,3.603,101.004,69.181,47.956,16.522,138.27,101.011,3.173,1.048,
7962/7963,31,3,10.873,4.04,6.607,2.398,0.926,0.703,117.626,86.716,54.754,21.454,137.872,117.855,2.305,0.716,
7946/7947,144,1,16.592,5.535,11.338,3.444,1.253,2.337,185.462,126.852,86.412,18.227,137.86,185.485,2.989,1.099,
7353/7354,101,5,11.862,4.496,7.395,3.369,1.133,6.077,109.063,68.203,49.09,14.623,137.446,109.063,2.712,0.83,
7312/7313,138,1,15.702,5.516,10.221,4.147,1.384,12.4497,78.637,45.626,34.472,13.162,137.384,78.64,3.117,0.96,
7379/7380,46,3,11.038,4.209,6.754,2.713,1.016,3.612,100.782,65.188,46.149,13.474,137.071,100.782,2.525,0.755,
7993/7994,114,2,11.266,4.172,7.028,3.017,1.065,3.195,85.692,54.143,35.907,15.051,136.871,85.751,2.924,1.094,
7866/7867,90,4,13.671,4.539,9.112,3.455,1.288,3.324,115.628,69.96,54.173,54.22,136.292,115.788,2.468,0.868,
7868/7869,21,5,11.983,4.221,8.149,2.613,0.952,1.953,99.758,61.106,46.477,49.44,135.822,100.266,2.562,1.03,
7348/7350,143,2,11.914,4.666,7.116,2.49,0.839,3.565,87.849,53.598,39.992,10.979,135.709,87.849,2.663,0.915,
7926/7927,69,3,15.879,5.436,10.641,2.538,1.025,1.42,171.192,120.814,82.781,18.268,135.494,171.195,3.138,1.001,
7379/7380,46,2,10.924,4.152,6.766,2.648,0.995,3.534,92.187,58.373,41.42,13.491,135.383,92.187,2.487,0.791,
7920/7921,61,3,16.803,5.994,10.872,4.19,1.284,7.43,85.761,56.986,39.558,15.526,135.056,85.784,3.205,1.065,
7884/7885,15,5,12.906,4.31,8.637,1.973,0.681,2.061,111.485,67.74,48.993,39.946,134.854,111.646,2.856,0.811,
8161/8162,19,4,13.5,4.808,8.661,3.66,1.254,6.035,104.255,67.101,48.102,13.052,134.361,104.255,2.627,1.011,
7936/7938,134,5,18.016,5.962,11.99,5.014,1.549,15.298,71.712,39.047,30.734,23.949,134.307,71.788,3.429,1.066,
7926/7927,69,4,16.043,5.736,10.506,2.902,1.275,4.233,126.517,87.871,61.398,16.843,134.175,126.517,3.419,0.914,
8165/8166,128,2,14.405,5.317,9.168,3.779,1.25,6.02,97.498,64.971,46.671,13.869,134.017,97.498,2.576,0.955,
7884/7885,15,3,11.612,3.793,7.729,2.771,1.047,1.946,93.676,58.639,43.639,32.161,133.261,94.114,2.207,0.68,
7967/7968,23,1,15.514,5.17,10.458,4.253,1.242,4.666,82.788,55.066,35.875,20.855,133.045,83.285,3.199,1.039,
7936/7938,134,3,11.283,4.161,7.213,3.07,1.105,3.346,81.715,46.044,32.728,23.183,132.645,81.893,2.65,0.78,
7936/7938,134,2,17.157,5.74,11.491,3.932,1.338,9.404,71.346,40.129,30.409,33.284,132.167,71.55,3.353,0.985,
7381/7382,45,5,12.774,4.923,7.793,3.516,1.25,6.833,101.928,66.227,48.178,13.686,131.47,101.928,2.714,0.94,
8157/8158,78,2,13.334,5.069,8.329,3.577,1.081,7.965,70.088,42.315,29.985,15.105,131.245,70.108,2.571,0.875,
7379/7380,46,4,12.297,4.756,7.482,3.123,1.02,4.338,117.753,77.916,57.114,14.397,130.862,117.753,2.869,0.862,
8159/8160,108,3,12.277,4.553,7.655,3.013,0.935,4.279,87.496,57.221,40.059,14.264,130.566,87.496,2.628,0.918,
7353/7354,101,2,10.851,3.73,6.848,2.452,1.005,2.772,98.057,61.746,45.36,15.407,130.07,98.057,2.642,0.813,
8154/8155,137,1,13.239,4.851,8.596,3.644,1.111,4.99,75.083,45.244,32.016,20.419,129.992,75.091,2.778,0.767,
7920/7921,61,1,14.356,5.017,9.509,3.123,1.179,2.185,112.48,79.551,56.402,16.85,129.93,112.48,2.867,0.864,
8154/8155,137,2,11.853,4.202,7.762,3.126,1.21,3.099,92.886,58.323,42.427,11.76,129.818,92.886,1.979,0.846,
7379/7380,46,5,12.059,4.776,7.14,3.65,1.189,6.115,93.953,59.712,44.264,13.882,129.647,93.956,2.85,0.914,
7348/7350,143,4,11.823,4.462,7.433,2.712,1.047,3.101,101.148,62.054,47.711,11.67,129.543,101.149,2.592,0.856,
7884/7885,15,4,11.806,4.131,7.381,2.245,0.799,1.014,128.055,87.423,63.389,28.239,129.32,128.066,2.338,0.687,
7316/7317,57,4,13.73,4.819,8.866,3.716,1.258,6.482,95.135,56.473,39.955,15.058,128.663,95.138,2.891,0.856,
7989/7990,7,3,12.076,4.151,7.841,2.958,1.193,2.77,70.061,45.854,33.028,14.271,128.174,70.081,1.863,0.829,
7889/7890,48,3,17.421,5.888,11.66,3.745,1.222,4.773,112.831,78.206,57.064,24.256,127.652,112.831,3.407,0.905,
7922/7923,85,1,13.08,5.039,8.249,3.094,1.039,2.659,90.14,62.858,44.7,18.488,127.467,90.366,2.941,0.985,
7964/7965,133,1,14.375,5.075,9.244,4.159,1.25,9.135,74.785,46.451,32.176,15.56,127.334,74.892,3.207,0.872,
7323/7324,36,4,11.569,3.95,7.504,2.549,0.989,3.233,94.783,60.867,42.947,13.005,127.069,94.783,2.422,0.701,
8157/8158,78,5,13.102,4.669,8.305,3.383,1.25,3.837,93.48,61.903,44.692,13.273,126.344,93.48,2.973,0.921,
7922/7923,85,4,16.15,6.026,10.211,3.864,1.322,5.532,85.69,58.891,42.796,16.161,126.17,85.796,3.429,1.038,
8163/8164,20,2,15.182,5.277,9.958,3.989,1.255,7.595,87.081,60.122,44.211,13.877,126.041,87.081,2.666,1.025,
8134/8135,81,3,9.982,3.618,6.195,2.496,1.029,2.533,88.952,57.04,44.103,11.777,124.872,88.952,2.084,0.762,
8154/8155,137,5,12.601,4.351,8.32,3.048,1.129,2.614,86.224,53.572,40.152,22.869,124.436,86.226,2.73,0.813,
7375/7376,77,3,10.203,4.158,5.903,2.499,0.995,2.439,98.513,64.092,48.171,16.394,124.204,98.513,2.423,0.659,
7316/7317,57,2,13.826,4.783,8.945,3.264,1.28,6.869,77.172,48.287,37.647,15.405,123.951,77.172,2.97,0.861,
8167/8168,65,5,15.524,5.238,9.966,2.918,0.893,3.485,110.095,81.948,56.952,18.473,123.375,110.095,2.867,0.976,
7948/7949,14,1,14.534,4.801,9.769,3.145,1.18,1.207,194.294,141.65,103.505,17.607,123.157,194.294,2.459,0.917,
7375/7376,77,2,11.608,4.591,7.157,2.497,0.935,3.365,94.612,62.261,48.08,11.775,123.061,94.612,2.564,0.744,
8009/9010,60,3,13.144,5.188,7.899,3.065,1.33,0.817,210.282,150.043,111.372,16.304,122.609,210.282,2.909,1.019,
