Date,Camera,Video,Family,Treatment,Predator,Time,Attempt,Success,
10.5.17,1,100_0002,3,D,F,NA,NA,NA,
10.5.17,1,100_0003,3,D,F,17:16,Strike,N,
10.5.17,1,100_0003,3,D,F,17:17,Strike,N,
10.5.17,1,100_0003,3,D,F,17:17,Strike,N,
10.5.17,1,100_0003,3,D,F,18:20-24,Chase,N,
10.5.17,1,100_0003,3,D,F,23:50,Strike,N,
10.5.17,1,100_0003,3,D,F,31:12:00,Strike,N,
10.5.17,1,100_0003,3,D,F,31:14:00,Strike,N,
10.5.17,1,100_0003,3,D,F,31:17:00,Strike,N,
10.5.17,2,100_0001,3,F,F,NA,NA,NA,
10.5.17,2,100_0002,3,F,F,NA,NA,NA,
10.5.17,3,100_0001,3,F,D,NA,NA,NA,
10.5.17,3,100_0002,3,F,D,NA,NA,NA,
10.5.17,4,100_0001,2,F,D,19:45-46,Chase,N,
10.5.17,4,100_0001,2,F,D,26:45:00,Strike,N,
10.5.17,4,100_0001,2,F,D,26:46:00,Strike,N,
10.5.17,4,100_0001,2,F,D,26:50:00,Strike,N,
10.5.17,4,100_0001,2,F,D,26:51:00,Strike,N,
10.5.17,4,100_0002,2,F,D,NA,NA,NA,
10.5.17,5,100_0001,2,C,D,NA,NA,NA,
10.5.17,5,100_0002,2,C,D,NA,NA,NA,
10.5.17,6,100_0001,2,F,F,NA,NA,NA,
10.5.17,6,100_0002,2,F,F,14:41,Strike,N,
10.5.17,7,100_0001,2,D,D,23:06,Strike,N,
10.5.17,7,100_0001,2,D,D,24:27:00,Strike,N,
10.5.17,8,_070836,3,D,D,1:33,Strike,N,
10.5.17,9,100_0001,2,C,F,NA,NA,NA,
10.5.17,9,100_0002,2,C,F,NA,NA,NA,
10.5.17,10,100_0001,2,D,F,NA,NA,NA,
10.5.17,10,100_0002,2,D,F,NA,NA,NA,
11.8.17,1,100_0001,4,D,F,1:39,Strike,N,
11.8.17,1,100_0001,4,D,F,1:40,Strike,N,
11.8.17,1,100_0001,4,D,F,1:42,Strike,N,
11.8.17,1,100_0001,4,D,F,1:45,Strike,N,
11.8.17,1,100_0001,4,D,F,1:49,Strike,N,
11.8.17,1,100_0001,4,D,F,3:13,Strike,N,
11.8.17,1,100_0001,4,D,F,3:19,Strike,N,
11.8.17,1,100_0001,4,D,F,3:19-3:20,Chase,N,
11.8.17,1,100_0001,4,D,F,12:51,Strike,N,
11.8.17,1,100_0001,4,D,F,13:29,Strike,N,
11.8.17,1,100_0001,4,D,F,13:42,Strike,N,
11.8.17,1,100_0001,4,D,F,13:42-13:45,Chase,N,
11.8.17,1,100_0001,4,D,F,13:55,Strike,N,
11.8.17,1,100_0001,4,D,F,14:45,Strike,N,
11.8.17,1,100_0001,4,D,F,14:51,Strike,N,
11.8.17,1,100_0001,4,D,F,14:51-53,Chase,N,
11.8.17,1,100_0001,4,D,F,14:53,Strike,N,
11.8.17,1,100_0001,4,D,F,14:56,Strike,N,
11.8.17,1,100_0001,4,D,F,14:58,Strike,N,
11.8.17,1,100_0001,4,D,F,15:00,Strike,N,
11.8.17,1,100_0001,4,D,F,15:01,Strike,N,tail
11.8.17,1,100_0001,4,D,F,14:53-15:00,Chase,N,
11.8.17,1,100_0001,4,D,F,16:45,Strike,N,
11.8.17,1,100_0001,4,D,F,16:46,Strike,N,
11.8.17,1,100_0001,4,D,F,16:46,Strike,Y,
11.8.17,1,100_0001,4,D,F,23:44,Chase,N,
11.8.17,1,100_0002,4,D,F,5:50,Strike,N,
11.8.17,1,100_0002,4,D,F,16:16,Strike,N,
11.8.17,1,100_0002,4,D,F,16:17,Strike,N,
11.8.17,1,100_0002,4,D,F,16:20,Strike,N,
11.8.17,1,100_0002,4,D,F,16:24,Strike,N,
11.8.17,1,100_0002,4,D,F,16:25,Strike,N,
11.8.17,1,100_0002,4,D,F,16:27,Strike,N,
11.8.17,1,100_0002,4,D,F,16:33,Strike,N,"note: i think the tadpole is dead, but fish never eats it"
11.8.17,3,100_0001,4,C,D,27:17:00,Strike,N,
11.8.17,3,100_0002,4,C,D,NA,NA,NA,
11.8.17,4,100_0006,4,C,F,15:32,Strike,N,
11.8.17,4,100_0007,4,C,F,NA,NA,NA,
11.8.17,5,100_0007,4,F,D,23:40,Strike,N,
