,RearingTreatment,TotalLengthMean,BodyLengthMean,TailLengthMean,TailDepthMean,MuscleHeightMean,TailSpotAreaMean,ChromaMean,BrightnessMean,HueMean,HeadWidthMean,MuscleWidthMean
,C,14.61955,5.223895,9.430802,3.264341,1.233086,2.767509,92.44994,156.4884,19.14658,2.894239,1.0069249
,D,13.08768,4.652295,8.437507,3.247588,1.137788,4.942933,140.33312,102.2472,18.75465,2.746111,0.8909599
,F,14.597,5.195781,9.47186,3.194057,1.307003,1.150562,72.29651,218.2099,20.3066,2.791487,1.03169
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
